newid,state,fy,yfte1980,statefips,statename,yfte2017,pctchnge,yfte2009,chnge2017,pctchng_bk
1,ALABAMA,1980,1722.6952,1,ALABAMA,5765.8086,1.0023359,5708.5894,57.219238,-11.426304
2,ALASKA,1980,7255.4604,2,ALASKA,17070.539,10.536862,15443.3,1627.2393,-3.92488
3,ARIZONA,1980,2056.6301,4,ARIZONA,5300.2632,-27.221699,7282.752,-1982.4888,2.3401303
4,ARKANSAS,1980,2136.2695,5,ARKANSAS,6720.4585,3.8052292,6474.104,246.35449,5.4573998
5,CALIFORNIA,1980,2707.3704,6,CALIFORNIA,10214.659,38.208889,7390.7397,2823.9194,10.536862
6,COLORADO,1980,1565.1345,8,COLORADO,4407.6812,-3.92488,4587.7446,-180.06348,20.543804
7,CONNECTICUT,1980,2547.9978,9,CONNECTICUT,10248.774,-.4380075,10293.862,-45.087891,
8,DELAWARE,1980,2308.3623,10,DELAWARE,6326.7393,-11.073536,7114.5742,-787.83496,
9,FLORIDA,1980,1754.0746,12,FLORIDA,6483.8716,3.0871246,6289.7007,194.1709,
10,GEORGIA,1980,2224.5554,13,GEORGIA,8079.7754,8.1417131,7471.4697,608.30566,
11,HAWAII,1980,3518.792,15,HAWAII,15367.025,13.614793,13525.55,1841.4756,
12,IDAHO,1980,2979.6975,16,IDAHO,8263.6592,-4.038487,8611.4307,-347.77148,
13,ILLINOIS,1980,2278.3013,17,ILLINOIS,14807.062,58.256077,9356.3936,5450.668,
14,INDIANA,1980,2318.7222,18,INDIANA,5729.6133,3.3213038,5545.4326,184.18066,
15,IOWA,1980,2559.0786,19,IOWA,5818.2017,-11.073965,6542.7427,-724.54102,
16,KANSAS,1980,2365.3916,20,KANSAS,5847.4121,-3.8721414,6082.9526,-235.54053,
17,KENTUCKY,1980,2411.9299,21,KENTUCKY,6622.7725,-7.1498661,7132.7549,-509.98242,
18,LOUISIANA,1980,2222.4097,22,LOUISIANA,4892.9468,-27.607544,6758.918,-1865.9712,
19,MAINE,1980,1923.8096,23,MAINE,7742.042,18.186304,6550.71,1191.332,
20,MARYLAND,1980,2234.5154,24,MARYLAND,8607.1387,21.179262,7102.8149,1504.3237,
21,MASSACHUSETTS,1980,2584.7485,25,MASSACHUSETTS,8740.6279,17.123297,7462.7578,1277.8701,
22,MICHIGAN,1980,2327.0872,26,MICHIGAN,5958.3218,3.2355211,5771.5811,186.74072,
23,MINNESOTA,1980,2651.6216,27,MINNESOTA,6774.9258,5.4573998,6424.3247,350.60107,
24,MISSISSIPPI,1980,1954.4623,28,MISSISSIPPI,5891.8516,-.70377511,5933.6108,-41.759277,
25,MISSOURI,1980,2349.1716,29,MISSOURI,5691.4507,-13.079035,6547.8457,-856.39502,
26,MONTANA,1980,2094.1379,30,MONTANA,5765.4971,13.368495,5085.6255,679.87158,
27,NEBRASKA,1980,2209.0134,31,NEBRASKA,9274.3389,20.543804,7693.75,1580.5889,
28,NEVADA,1980,2623.0186,32,NEVADA,7046.3647,-16.422359,8430.9209,-1384.5562,
29,NEW HAMPSHIRE,1980,1462.7865,33,NEW HAMPSHIRE,2958.9475,-16.603294,3548.0388,-589.09131,
30,NEW JERSEY,1980,2375.2844,34,NEW JERSEY,7062.4546,-6.7066689,7570.1602,-507.70557,
31,NEW MEXICO,1980,2647.7168,35,NEW MEXICO,9603.3438,21.655071,7893.9116,1709.4321,
32,NEW YORK,1980,3022.3633,36,NEW YORK,10606.394,21.557087,8725.4424,1880.9512,
33,NORTH CAROLINA,1980,2399.7537,37,NORTH CAROLINA,8798.7773,9.9873619,7999.8076,798.96973,
34,NORTH DAKOTA,1980,2255.4705,38,NORTH DAKOTA,9033.8828,64.843155,5480.29,3553.5928,
35,OHIO,1980,1932.3024,39,OHIO,5591.5386,3.1364772,5421.4946,170.04395,
36,OKLAHOMA,1980,2011.8993,40,OKLAHOMA,5652.1475,-21.936977,7240.4927,-1588.3452,
37,OREGON,1980,2164.0913,41,OREGON,6459.2817,20.636644,5354.3281,1104.9536,
38,PENNSYLVANIA,1980,2582.04,42,PENNSYLVANIA,4432.9868,-22.462973,5717.2515,-1284.2646,
39,RHODE ISLAND,1980,3128.6311,44,RHODE ISLAND,6139.647,.83700186,6088.6846,50.962402,
40,SOUTH CAROLINA,1980,2420.5022,45,SOUTH CAROLINA,5570.8843,9.6491222,5080.6465,490.23779,
41,SOUTH DAKOTA,1980,2228.4272,46,SOUTH DAKOTA,5942.8896,16.022793,5122.1743,820.71533,
42,TENNESSEE,1980,2053.668,47,TENNESSEE,7225.2383,-2.8254476,7435.3193,-210.08105,
43,TEXAS,1980,2006.8538,48,TEXAS,7355.8281,10.099281,6681.0864,674.7417,
44,UTAH,1980,2596.6299,49,UTAH,7025.7324,8.140377,6496.8633,528.86914,
45,VERMONT,1980,1325.4247,50,VERMONT,3072.6704,3.7358277,2962.0146,110.65576,
46,VIRGINIA,1980,2008.5961,51,VIRGINIA,5798.9766,2.3401303,5666.376,132.60059,
47,WASHINGTON,1980,2474.583,53,WASHINGTON,7294.5908,7.4791317,6786.9834,507.60742,
48,WEST VIRGINIA,1980,1970.7112,54,WEST VIRGINIA,4741.4868,-5.2217898,5002.7183,-261.23145,
49,WISCONSIN,1980,2602.7341,55,WISCONSIN,5953.0347,-11.426304,6720.9961,-767.96143,
50,WYOMING,1980,3801.2529,56,WYOMING,15748.276,15.112052,13680.823,2067.4531,
