fips_code,state,ugrad2000,ugrad2010,ugrad2015,ugrad2018,ugrad2020,ugrad2021
1,ALABAMA,201389,282128,257649,255394,239405,239392
2,ALASKA,26222,31925,28818,23501,20067,18943
4,ARIZONA,299529,672083,541853,483019,490927,501925
5,ARKANSAS,104580,156970,148630,140145,128688,125965
6,CALIFORNIA,2012213,2444496,2415506,2421397,2283489,2161195
8,COLORADO,220059,312099,289534,299642,297102,285300
9,CONNECTICUT,127715,163291,162925,160344,149961,146651
10,DELAWARE,37930,45848,47981,49339,47788,45589
12,FLORIDA,623071,993545,956598,942875,895687,870188
13,GEORGIA,296980,499187,456792,462921,459117,450908
15,HAWAII,51783,68244,61367,55359,53272,53343
16,IDAHO,58644,76998,113245,115040,114337,117204
17,ILLINOIS,623018,748921,650597,586599,525152,516121
18,INDIANA,273198,404033,369200,328203,363906,355552
19,IOWA,165360,339036,237013,218060,175343,174948
20,KANSAS,156385,188326,191680,184611,164547,165451
21,KENTUCKY,164183,256447,219870,212498,204200,200323
22,LOUISIANA,191517,230370,214594,207905,204878,202107
23,MAINE,50728,63599,62252,62061,60219,59230
24,MARYLAND,221952,305358,294032,288621,275895,260297
25,MASSACHUSETTS,320012,377241,374979,357448,329932,327318
26,MICHIGAN,480618,605990,517079,460455,414859,407778
27,MINNESOTA,254632,346864,311536,293499,282332,270367
28,MISSISSIPPI,123299,159262,153551,149453,138973,134267
29,MISSOURI,266802,367032,331955,298341,268606,262407
30,MONTANA,38481,48446,46067,43807,39587,40901
31,NEBRASKA,96759,121430,110313,109313,109090,108474
32,NEVADA,79053,116743,104845,105999,104378,102771
33,NEW HAMPSHIRE,51990,62442,96588,130106,154434,163391
34,NEW JERSEY,284785,380060,360074,351139,327538,314658
35,NEW MEXICO,96377,147976,124385,110178,95925,92574
36,NEW YORK,839423,1059332,1048058,1005039,940469,895620
37,NORTH CAROLINA,358912,516254,490350,487708,479709,474251
38,NORTH DAKOTA,36899,50003,46568,45572,43100,42490
39,OHIO,469999,650546,574217,556320,568659,558738
40,OKLAHOMA,157021,204217,185545,171247,162764,156081
41,OREGON,160805,221825,206895,196233,174920,167620
42,PENNSYLVANIA,506948,664384,598510,555457,522529,501041
44,RHODE ISLAND,65067,73974,71972,69257,65628,63104
45,SOUTH CAROLINA,161699,231375,223671,213232,205605,204663
46,SOUTH DAKOTA,37497,50605,46901,46241,43798,43658
47,TENNESSEE,230376,302248,277409,273671,264493,254568
48,TEXAS,905649,1360528,1390972,1449045,1400613,1358538
49,UTAH,149954,231721,259006,308768,333245,327718
50,VERMONT,30809,38608,37298,36469,33640,34307
51,VIRGINIA,325395,486820,474525,451558,440400,426852
53,WASHINGTON,290292,351863,328355,329414,294955,282065
54,WEST VIRGINIA,76556,128335,127619,118682,115029,110322
55,WISCONSIN,271839,341698,310350,297526,279126,274617
56,WYOMING,26811,35466,31602,30058,28456,27837
